freq,unit,sex,age,isced11,geo\TIME_PERIOD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,THS_PER,F,Y15-74,ED0-2,AT,438.9,420.9,397.5,396.7,403.5,350.3,358.4,401.9,434.8,409.1,394.2,373.0,374.4,366.5,357.6,336.9,324.5,324.0,314.0,309.9,293.0,292.6,291.5,287.5,299.1,286.7
A,THS_PER,F,Y15-74,ED0-2,AT1,186.3,172.8,167.1,169.2,168.3,151.6,150.4,166.0,184.5,163.3,157.3,147.7,151.7,153.8,142.0,133.9,131.4,133.8,131.2,134.2,122.8,119.9,123.4,113.0,123.0,122.0
A,THS_PER,F,Y15-74,ED0-2,AT11,18.0,17.6,17.0,14.3,14.9,12.8,14.9,15.9,15.4,14.8,13.5,12.7,13.1,13.8,12.8,10.5,11.3,12.5,10.5,11.1,9.3,8.8,9.5,9.5,8.7,8.5
A,THS_PER,F,Y15-74,ED0-2,AT12,83.0,78.9,69.7,74.0,69.6,64.5,63.2,73.5,82.7,72.7,71.9,64.3,70.2,73.6,66.4,66.2,61.1,57.8,59.8,57.5,50.8,51.7,51.8,48.2,47.9,50.0
A,THS_PER,F,Y15-74,ED0-2,AT13,85.3,76.3,80.4,80.9,83.8,74.3,72.3,76.6,86.4,75.8,72.0,70.7,68.3,66.4,62.9,57.3,59.1,63.5,60.8,65.6,62.7,59.4,62.1,55.4,66.4,63.5
A,THS_PER,F,Y15-74,ED0-2,AT2,79.8,77.9,71.4,69.8,74.7,57.3,66.1,71.6,74.1,75.0,70.9,69.9,68.4,64.2,69.1,61.3,58.4,57.0,57.1,54.6,51.2,54.2,50.6,56.1,56.9,51.1
A,THS_PER,F,Y15-74,ED0-2,AT21,23.4,23.5,20.1,16.2,17.2,18.0,19.1,19.5,19.9,19.8,18.3,20.3,19.0,18.4,18.1,16.7,16.5,13.8,14.5,14.8,14.6,13.1,12.8,14.2,14.8,13.4
A,THS_PER,F,Y15-74,ED0-2,AT22,56.4,54.4,51.3,53.5,57.5,39.3,46.9,52.1,54.2,55.3,52.6,49.6,49.4,45.8,51.0,44.5,41.9,43.2,42.6,39.8,36.6,41.0,37.8,41.8,42.1,37.7
A,THS_PER,F,Y15-74,ED0-2,AT3,172.8,170.2,159.0,157.7,160.5,141.4,141.9,164.3,176.1,170.7,166.0,155.4,154.3,148.4,146.4,141.7,134.7,133.1,125.8,121.1,119.1,118.5,117.5,118.4,119.2,113.6
A,THS_PER,F,Y15-74,ED0-2,AT31,89.8,86.8,83.1,81.8,83.6,68.9,69.4,79.5,87.5,86.2,82.7,77.6,77.0,74.2,76.2,71.8,65.5,62.6,62.5,59.3,52.8,54.7,56.9,60.8,58.3,53.3
A,THS_PER,F,Y15-74,ED0-2,AT32,26.9,28.6,27.3,26.2,22.6,22.5,22.4,24.5,26.1,24.7,22.6,20.0,19.2,20.2,19.8,18.5,18.2,18.5,18.1,17.3,19.0,17.4,17.6,16.3,16.2,16.9
A,THS_PER,F,Y15-74,ED0-2,AT33,34.1,32.1,28.1,29.2,33.5,31.5,29.9,38.9,41.6,39.8,41.2,38.1,37.7,34.9,33.6,34.5,34.3,35.6,29.3,27.9,29.1,28.6,26.6,26.6,29.1,27.7
A,THS_PER,F,Y15-74,ED0-2,AT34,22.0,22.7,20.4,20.6,20.8,18.5,20.3,21.4,20.9,20.1,19.5,19.6,20.4,19.2,16.7,16.9,16.7,16.4,15.9,16.6,18.2,17.8,16.3,14.6,15.6,15.7
A,THS_PER,F,Y15-74,ED0-2,BA,,,,,,,,,,,,,,,,,,,,,,,57.0,47.5,46.2,50.4
A,THS_PER,F,Y15-74,ED0-2,BE,529.8,511.0,478.3,466.3,466.8,470.5,445.3,439.7,442.8,421.7,398.6,418.8,391.6,380.6,375.4,367.6,351.4,349.2,317.1,305.9,292.1,269.8,247.8,247.5,261.8,257.9
A,THS_PER,F,Y15-74,ED0-2,BE1,54.4,48.1,48.0,45.4,43.3,38.2,44.3,45.4,47.0,50.3,48.0,52.6,48.8,47.5,49.6,51.5,47.1,46.5,42.2,38.1,39.6,38.7,35.6,34.4,36.1,30.8
A,THS_PER,F,Y15-74,ED0-2,BE10,54.4,48.1,48.0,45.4,43.3,38.2,44.3,45.4,47.0,50.3,48.0,52.6,48.8,47.5,49.6,51.5,47.1,46.5,42.2,38.1,39.6,38.7,35.6,34.4,36.1,30.8
A,THS_PER,F,Y15-74,ED0-2,BE2,299.4,295.3,271.6,271.3,272.1,275.3,249.6,245.4,252.4,232.8,219.3,225.5,212.8,202.7,197.5,197.6,188.2,183.2,168.3,165.7,158.0,150.1,133.8,132.0,144.7,143.2
A,THS_PER,F,Y15-74,ED0-2,BE21,81.4,80.7,69.6,67.2,61.6,74.6,68.7,64.0,68.5,58.6,54.0,60.4,55.9,50.1,55.9,48.2,52.2,51.0,46.7,49.7,44.5,46.1,41.3,35.4,40.9,40.8
A,THS_PER,F,Y15-74,ED0-2,BE22,40.1,35.0,39.7,37.0,35.1,27.6,34.8,33.9,33.5,29.0,33.4,32.8,30.9,29.5,27.8,25.8,22.1,26.7,25.3,23.3,22.8,19.1,16.9,16.5,14.2,14.5
A,THS_PER,F,Y15-74,ED0-2,BE23,70.1,67.2,69.0,68.6,73.5,72.7,60.1,56.1,59.0,59.0,53.4,52.7,53.1,50.6,45.9,52.8,45.9,43.5,37.7,37.3,35.8,35.0,29.1,28.8,35.5,34.9
A,THS_PER,F,Y15-74,ED0-2,BE24,44.9,40.3,36.3,44.8,39.3,39.5,35.5,37.2,35.9,35.8,30.1,30.5,30.3,27.3,27.8,27.4,27.5,25.1,22.7,23.8,22.6,18.2,16.1,18.6,18.2,17.5
A,THS_PER,F,Y15-74,ED0-2,BE25,62.9,72.2,57.0,53.7,62.7,60.8,50.5,54.2,55.5,50.4,48.5,49.2,42.5,45.1,40.1,43.4,40.5,36.9,35.8,31.6,32.2,31.7,30.5,32.5,36.0,35.5
A,THS_PER,F,Y15-74,ED0-2,BE3,176.0,167.6,158.7,149.5,151.3,157.1,151.4,148.9,143.4,138.6,131.3,140.7,130.0,130.4,128.3,118.4,116.1,119.5,106.6,102.1,94.5,81.0,78.3,81.2,81.0,84.0
A,THS_PER,F,Y15-74,ED0-2,BE31,12.7,18.0,13.4,13.9,10.4,13.8,12.1,11.4,13.2,10.3,10.8,11.7,8.2,9.1,9.9,10.1,7.3,9.2,7.5,7.6,6.4,5.9,5.7,5.4,5.1,5.6
A,THS_PER,F,Y15-74,ED0-2,BE32,65.8,52.8,62.4,63.7,58.9,61.5,61.7,63.3,56.2,53.6,49.6,53.9,50.5,53.1,46.5,42.7,45.5,46.3,39.9,35.4,33.3,29.3,32.1,36.7,34.6,36.4
A,THS_PER,F,Y15-74,ED0-2,BE33,58.3,64.9,51.2,42.7,49.3,50.2,48.0,45.9,46.5,48.0,45.2,45.7,43.9,43.3,44.5,42.2,43.0,41.6,37.4,38.5,33.5,27.5,25.3,24.2,25.3,23.7
A,THS_PER,F,Y15-74,ED0-2,BE34,15.6,11.9,12.4,11.9,12.0,11.1,11.9,9.2,9.7,10.3,9.3,11.2,11.2,11.0,11.8,8.6,8.4,9.5,9.1,7.5,7.7,8.1,7.5,7.0,6.0,6.8
A,THS_PER,F,Y15-74,ED0-2,BE35,23.6,19.9,19.2,17.4,20.8,20.4,17.7,19.2,17.7,16.3,16.4,18.3,16.2,14.0,15.7,14.8,11.9,13.0,12.7,13.2,13.5,10.2,7.7,7.9,10.0,11.5
A,THS_PER,F,Y15-74,ED0-2,BG,,345.7,309.7,310.0,283.3,302.0,270.6,249.5,244.8,244.4,229.5,207.4,192.5,186.7,180.8,184.1,169.8,153.7,162.8,158.8,163.0,143.5,138.4,141.3,128.0,106.7
A,THS_PER,F,Y15-74,ED0-2,BG3,,,,,150.7,164.2,142.5,140.2,140.8,135.7,126.1,116.9,109.7,105.7,102.2,102.3,96.7,88.9,94.3,89.3,88.9,78.5,74.6,79.5,74.4,61.2
A,THS_PER,F,Y15-74,ED0-2,BG31,,,,,23.3,25.9,22.2,17.9,20.4,17.8,16.1,14.2,14.8,13.4,15.7,15.3,13.8,12.7,13.1,12.5,14.5,14.3,15.2,12.9,10.0,10.7
A,THS_PER,F,Y15-74,ED0-2,BG32,,,,,36.5,36.3,32.5,34.1,32.4,30.1,26.0,25.2,23.8,22.3,23.1,24.4,21.5,19.2,20.4,15.7,15.8,14.3,12.3,14.8,14.0,10.4
A,THS_PER,F,Y15-74,ED0-2,BG33,,,,,45.0,52.8,45.5,43.7,46.2,43.4,40.9,36.5,34.0,35.7,33.3,32.2,28.8,28.0,32.5,31.4,25.7,21.2,20.2,25.0,24.1,18.5
A,THS_PER,F,Y15-74,ED0-2,BG34,,,,,45.9,49.2,42.3,44.5,41.8,44.5,43.0,41.0,37.1,34.2,30.1,30.4,32.6,29.0,28.3,29.7,33.0,28.7,26.8,26.9,26.3,21.6
A,THS_PER,F,Y15-74,ED0-2,BG4,,,,,132.6,137.9,128.0,109.3,104.1,108.7,103.4,90.5,82.9,81.0,78.6,81.8,73.1,64.9,68.5,69.5,74.1,65.0,63.8,61.8,53.6,45.5
A,THS_PER,F,Y15-74,ED0-2,BG41,,63.9,54.9,49.2,53.1,49.5,48.2,42.4,40.4,41.6,42.0,33.7,29.4,26.9,25.5,28.2,26.5,25.7,26.8,27.1,31.7,27.3,29.5,28.9,25.2,22.1
A,THS_PER,F,Y15-74,ED0-2,BG42,,,,,79.5,88.4,79.9,67.0,63.6,67.1,61.4,56.8,53.5,54.0,53.1,53.6,46.6,39.1,41.7,42.5,42.4,37.8,34.3,32.9,28.4,23.4
A,THS_PER,F,Y15-74,ED0-2,CH,442.7,411.1,436.9,425.1,443.3,430.6,417.1,388.7,366.8,375.0,392.6,392.0,400.7,378.8,364.0,339.0,340.5,345.1,323.8,317.5,294.6,291.9,316.8,330.7,334.4,340.9
A,THS_PER,F,Y15-74,ED0-2,CH0,442.7,411.1,436.9,425.1,443.3,430.6,417.1,388.7,366.8,375.0,392.6,392.0,400.7,378.8,364.0,339.0,340.5,345.1,323.8,317.5,294.6,291.9,316.8,330.7,334.4,340.9
A,THS_PER,F,Y15-74,ED0-2,CH01,,,81.2,75.9,82.9,75.8,77.1,68.8,71.1,71.0,79.8,72.5,76.5,72.9,70.7,61.7,72.9,76.4,69.5,68.2,64.4,60.5,67.6,72.9,70.9,69.2
