freq,sex,indic_se,isco08,sizeclas,nace_r2,unit,geo\TIME_PERIOD,2022
A,F,HOL,OC0,GE10,B-E,NR,DE,
A,F,HOL,OC0,GE10,B-E,NR,EA19,25.0
A,F,HOL,OC0,GE10,B-E,NR,EA20,25.0
A,F,HOL,OC0,GE10,B-E,NR,EU27_2020,25.0
A,F,HOL,OC0,GE10,B-E,NR,NL,
A,F,HOL,OC0,GE10,B-E,NR,SI,
A,F,HOL,OC0,GE10,B-F,NR,DE,
A,F,HOL,OC0,GE10,B-F,NR,EA19,25.0
A,F,HOL,OC0,GE10,B-F,NR,EA20,25.0
A,F,HOL,OC0,GE10,B-F,NR,EU27_2020,25.0
A,F,HOL,OC0,GE10,B-F,NR,NL,
A,F,HOL,OC0,GE10,B-F,NR,SI,
A,F,HOL,OC0,GE10,B-N,NR,EA19,23.0
A,F,HOL,OC0,GE10,B-N,NR,EA20,23.0
A,F,HOL,OC0,GE10,B-N,NR,EU27_2020,23.0
A,F,HOL,OC0,GE10,B-N,NR,IT,
A,F,HOL,OC0,GE10,B-N,NR,NL,
A,F,HOL,OC0,GE10,B-N,NR,SI,
A,F,HOL,OC0,GE10,B-S,NR,CZ,
A,F,HOL,OC0,GE10,B-S,NR,EE,
A,F,HOL,OC0,GE10,B-S,NR,ES,
A,F,HOL,OC0,GE10,B-S,NR,LT,
A,F,HOL,OC0,GE10,B-S,NR,MT,
A,F,HOL,OC0,GE10,B-S,NR,NL,
A,F,HOL,OC0,GE10,B-S,NR,SE,
A,F,HOL,OC0,GE10,B-S,NR,SI,
A,F,HOL,OC0,GE10,B-S,NR,SK,
A,F,HOL,OC0,GE10,B-S_X_O,NR,EA19,23.0
A,F,HOL,OC0,GE10,B-S_X_O,NR,EA20,23.0
A,F,HOL,OC0,GE10,B-S_X_O,NR,EU27_2020,23.0
A,F,HOL,OC0,GE10,B-S_X_O,NR,IT,
A,F,HOL,OC0,GE10,B-S_X_O,NR,SI,
A,F,HOL,OC0,GE10,C,NR,DE,
A,F,HOL,OC0,GE10,C,NR,EA19,25.0
A,F,HOL,OC0,GE10,C,NR,EA20,25.0
A,F,HOL,OC0,GE10,C,NR,EU27_2020,25.0
A,F,HOL,OC0,GE10,C,NR,NL,
A,F,HOL,OC0,GE10,C,NR,SI,
A,F,HOL,OC0,GE10,D,NR,DE,
A,F,HOL,OC0,GE10,D,NR,EA19,29.0
A,F,HOL,OC0,GE10,D,NR,EA20,29.0
A,F,HOL,OC0,GE10,D,NR,EU27_2020,29.0
A,F,HOL,OC0,GE10,G,NR,DE,
A,F,HOL,OC0,GE10,G,NR,EA19,21.0
A,F,HOL,OC0,GE10,G,NR,EA20,21.0
A,F,HOL,OC0,GE10,G,NR,EU27_2020,21.0
A,F,HOL,OC0,GE10,G,NR,NL,
A,F,HOL,OC0,GE10,G-J,NR,EA19,23.0
A,F,HOL,OC0,GE10,G-J,NR,EA20,23.0
A,F,HOL,OC0,GE10,G-J,NR,EU27_2020,23.0
A,F,HOL,OC0,GE10,G-J,NR,NL,
A,F,HOL,OC0,GE10,G-S,NR,CZ,
A,F,HOL,OC0,GE10,G-S,NR,EE,
A,F,HOL,OC0,GE10,G-S,NR,ES,
A,F,HOL,OC0,GE10,G-S,NR,LT,
A,F,HOL,OC0,GE10,G-S,NR,MT,
A,F,HOL,OC0,GE10,G-S,NR,NL,
A,F,HOL,OC0,GE10,G-S,NR,SE,
A,F,HOL,OC0,GE10,G-S,NR,SI,
A,F,HOL,OC0,GE10,G-S,NR,SK,
A,F,HOL,OC0,GE10,G-S_X_O,NR,EA19,23.0
A,F,HOL,OC0,GE10,G-S_X_O,NR,EA20,23.0
A,F,HOL,OC0,GE10,G-S_X_O,NR,EU27_2020,23.0
A,F,HOL,OC0,GE10,G-S_X_O,NR,IT,
A,F,HOL,OC0,GE10,G-S_X_O,NR,SI,
A,F,HOL,OC0,GE10,H,NR,DE,
A,F,HOL,OC0,GE10,H,NR,EA19,24.0
A,F,HOL,OC0,GE10,H,NR,EA20,24.0
A,F,HOL,OC0,GE10,H,NR,EU27_2020,24.0
A,F,HOL,OC0,GE10,H,NR,NL,
A,F,HOL,OC0,GE10,J,NR,DE,
A,F,HOL,OC0,GE10,J,NR,EA19,18.0
A,F,HOL,OC0,GE10,J,NR,EA20,18.0
A,F,HOL,OC0,GE10,J,NR,EU27_2020,18.0
A,F,HOL,OC0,GE10,K,NR,EA19,32.0
A,F,HOL,OC0,GE10,K,NR,EA20,32.0
A,F,HOL,OC0,GE10,K,NR,EU27_2020,32.0
A,F,HOL,OC0,GE10,K,NR,IT,
A,F,HOL,OC0,GE10,K-N,NR,EA19,23.0
A,F,HOL,OC0,GE10,K-N,NR,EA20,23.0
A,F,HOL,OC0,GE10,K-N,NR,EU27_2020,23.0
A,F,HOL,OC0,GE10,K-N,NR,IT,
A,F,HOL,OC0,GE10,K-N,NR,NL,
A,F,HOL,OC0,GE10,L,NR,DE,
A,F,HOL,OC0,GE10,L,NR,EA19,12.0
A,F,HOL,OC0,GE10,L,NR,EA20,12.0
A,F,HOL,OC0,GE10,L,NR,EU27_2020,12.0
A,F,HOL,OC0,GE10,M,NR,DE,
A,F,HOL,OC0,GE10,M,NR,EA19,21.0
A,F,HOL,OC0,GE10,M,NR,EA20,21.0
A,F,HOL,OC0,GE10,M,NR,EU27_2020,21.0
A,F,HOL,OC0,GE10,M,NR,NL,
A,F,HOL,OC0,GE10,N,NR,DE,
A,F,HOL,OC0,GE10,N,NR,EA19,25.0
A,F,HOL,OC0,GE10,N,NR,EA20,25.0
A,F,HOL,OC0,GE10,N,NR,EU27_2020,25.0
