,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Free Cash Flow,20881000000.0,26995000000.0,23903000000.0,26707000000.0,20694000000.0,
Repurchase Of Capital Stock,-25898000000.0,-23606000000.0,-25083000000.0,-26522000000.0,-23205000000.0,
Repayment Of Debt,976000000.0,-8953000000.0,427000000.0,-3253000000.0,-3148000000.0,
Issuance Of Debt,,,0.0,,,
Capital Expenditure,-3071000000.0,-2940000000.0,-2908000000.0,-2151000000.0,-1996000000.0,
Income Tax Paid Supplemental Data,13032000000.0,18651000000.0,6872000000.0,4699000000.0,7276000000.0,
End Cash Position,28162000000.0,30299000000.0,29943000000.0,26635000000.0,33921000000.0,
Beginning Cash Position,30299000000.0,29943000000.0,26635000000.0,33921000000.0,41974000000.0,
Changes In Cash,-2137000000.0,356000000.0,3308000000.0,-7286000000.0,-8053000000.0,
Financing Cash Flow,-29006000000.0,-39371000000.0,-24948000000.0,-36017000000.0,-30433000000.0,
Cash Flow From Continuing Financing Activities,-29006000000.0,-39371000000.0,-24948000000.0,-36017000000.0,-30433000000.0,
Net Other Financing Charges,-326000000.0,-2956000000.0,-448000000.0,-2347000000.0,-370000000.0,
Cash Dividends Paid,-3758000000.0,-3856000000.0,-3804000000.0,-3895000000.0,-3710000000.0,
Common Stock Dividend Paid,-3758000000.0,-3856000000.0,-3804000000.0,-3895000000.0,-3710000000.0,
Net Common Stock Issuance,-25898000000.0,-23606000000.0,-25083000000.0,-26522000000.0,-23205000000.0,
Common Stock Payments,-25898000000.0,-23606000000.0,-25083000000.0,-26522000000.0,-23205000000.0,
Net Issuance Payments Of Debt,976000000.0,-8953000000.0,4387000000.0,-3253000000.0,-3148000000.0,
Net Short Term Debt Issuance,3976000000.0,-7944000000.0,6945000000.0,997000000.0,2000000.0,
Short Term Debt Payments,3976000000.0,-7944000000.0,,997000000.0,2000000.0,-3984000000.0
Net Long Term Debt Issuance,-3000000000.0,-1009000000.0,-2558000000.0,-4250000000.0,-3150000000.0,
Long Term Debt Payments,-3000000000.0,-1009000000.0,-2558000000.0,-4250000000.0,-3150000000.0,
Long Term Debt Issuance,,,0.0,,,
Investing Cash Flow,2917000000.0,9792000000.0,1445000000.0,-127000000.0,-310000000.0,
Cash Flow From Continuing Investing Activities,2917000000.0,9792000000.0,1445000000.0,-127000000.0,-310000000.0,
Net Other Investing Changes,-32000000.0,-603000000.0,-191000000.0,-388000000.0,-445000000.0,
Net Investment Purchase And Sale,6020000000.0,13335000000.0,4544000000.0,2412000000.0,2131000000.0,
Sale Of Investment,12338000000.0,19459000000.0,15126000000.0,15444000000.0,17393000000.0,
Purchase Of Investment,-6318000000.0,-6124000000.0,-10582000000.0,-13032000000.0,-15262000000.0,
Net PPE Purchase And Sale,-3071000000.0,-2940000000.0,-2908000000.0,-2151000000.0,-1996000000.0,
Purchase Of PPE,-3071000000.0,-2940000000.0,-2908000000.0,-2151000000.0,-1996000000.0,
Operating Cash Flow,23952000000.0,29935000000.0,26811000000.0,28858000000.0,22690000000.0,
Cash Flow From Continuing Operating Activities,23952000000.0,29935000000.0,26811000000.0,28858000000.0,22690000000.0,
Change In Working Capital,-6507000000.0,-10752000000.0,6608000000.0,1684000000.0,-5764000000.0,
Change In Other Current Liabilities,-3581000000.0,-11998000000.0,15550000000.0,3439000000.0,428000000.0,
Change In Other Current Assets,-5310000000.0,939000000.0,-6105000000.0,-1188000000.0,-2981000000.0,
Change In Payables And Accrued Expense,-7933000000.0,-6671000000.0,21191000000.0,1539000000.0,-12168000000.0,
Change In Payable,-7933000000.0,-6671000000.0,21191000000.0,1539000000.0,-12168000000.0,
Change In Account Payable,-7933000000.0,-6671000000.0,21191000000.0,1539000000.0,-12168000000.0,
Change In Inventory,643000000.0,215000000.0,-1087000000.0,-12000000.0,190000000.0,
Change In Receivables,9674000000.0,6763000000.0,-22941000000.0,-2094000000.0,8767000000.0,
Changes In Account Receivables,3669000000.0,3597000000.0,-10485000000.0,-1030000000.0,1172000000.0,
Other Non Cash Items,-208000000.0,-2009000000.0,-302000000.0,7000000.0,-982000000.0,
Stock Based Compensation,3226000000.0,3286000000.0,2858000000.0,2869000000.0,2964000000.0,
Depreciation Amortization Depletion,2661000000.0,3080000000.0,2911000000.0,2850000000.0,2836000000.0,
Depreciation And Amortization,2661000000.0,3080000000.0,2911000000.0,2850000000.0,2836000000.0,
Net Income From Continuing Operations,24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
