Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-03-31,Vanguard Group Inc,0.0938,1400790809,300133431041,0.0036000002
2025-03-31,Blackrock Inc.,0.0763,1140202870,244299860662,0.0149
2025-03-31,State Street Corporation,0.0399,596025766,127704477349,0.00090000004
2025-03-31,"Geode Capital Management, LLC",0.0234,349807156,74949679323,0.028299998
2025-03-31,"FMR, LLC",0.022,328100180,70298742764,-0.0396
2025-03-31,"Berkshire Hathaway, Inc",0.0201,300000000,64277998352,0.0
2025-03-31,Morgan Stanley,0.0162,241221800,51684181542,0.0124
2025-03-31,Price (T.Rowe) Associates Inc,0.014400001,214703055,46002275384,-0.024600001
2025-03-31,JPMORGAN CHASE & CO,0.013300001,198745598,42583230735,0.086
2024-12-31,NORGES BANK,0.0125,187160162,40100935282,0.0542
